id,joke,punchline
1,Bakit maswerte ang kalendaryo?,Kasi maraming siyang date.
2,Ano ang binibigay ng doktor sa ibong may sakit?,Eh 'di... TWEETMENT!
3,Bakit malungkot ang kalendaryo?,Kasi bilang na ang araw niya
4,Saan nag dedeposit ang mga bampira?,edi sa BLOOD BANK!
5,Anong fish ang may lahing insekto?,edi i-FISH (IPIS)
6,Ano'ng favorite sport ni Dracula?,Eh 'di... BAT-MINTON!
7,Ba't malungkot kapag undas?,Kasi 'pag binaliktad mo... SADNU.
8,Ano'ng katabi ng USA?,Eh 'di... USB.
9,Ano'ng tawag sa doctor ng mga fish?,Eh 'di... FISHician! (Physician)
10,Ano'ng insekto ang walangg gilagid?,LANGGAM (Walang gum).
11,Ano'ng sabi ng baby rubber band sa mommy rubber band?,Eh 'di... GO MA!
12,I have a horse named Mayo. Do you know what it does?,Mayo neighs.
13,Ano ang cellphone ng mga lola?,edi motoLOLA!
